"Date","Year","Month","RF"
"1981/06","1981","06","1.1"
"1981/07","1981","07","4.7"
"1981/08","1981","08","11.8"
"1981/09","1981","09","5.1"
"1981/10","1981","10","6.2"
"1981/11","1981","11","18.9"
"1981/12","1981","12","11.9"
"1982/01","1982","01","32.4"
"1982/02","1982","02","15.6"
"1982/03","1982","03","27.6"
"1982/04","1982","04","21.8"
"1982/05","1982","05","3.8"
"1982/06","1982","06","8"
"1982/07","1982","07","13.9"
"1982/08","1982","08","14.9"
"1982/09","1982","09","6.3"
"1982/10","1982","10","8.6"
"1982/11","1982","11","12"
"1982/12","1982","12","15.5"
"1983/01","1983","01","1.9"
"1983/02","1983","02","1.2"
"1983/03","1983","03","2.1"
"1983/04","1983","04","7.9"
"1983/05","1983","05","5.8"
"1983/06","1983","06","3.3"
"1983/07","1983","07","4.6"
"1983/08","1983","08","5.8"
"1983/09","1983","09","9.2"
"1983/10","1983","10","9.9"
"1983/11","1983","11","2.2"
"1983/12","1983","12","7.3"
"1984/01","1984","01","9.4"
"1984/02","1984","02","7.4"
"1984/03","1984","03","3.9"
"1984/04","1984","04","9.2"
"1984/05","1984","05","4.5"
"1984/06","1984","06","1.5"
"1984/07","1984","07","3.4"
"1984/08","1984","08","3.3"
"1984/09","1984","09","1.8"
"1984/10","1984","10","0.6"
"1984/11","1984","11","6.5"
"1984/12","1984","12","8.2"
"1985/01","1985","01","4.4"
"1985/02","1985","02","11.2"
"1985/03","1985","03","36.2"
"1985/04","1985","04","7.2"
"1985/05","1985","05","12.2"
"1985/06","1985","06","2.6"
"1985/07","1985","07","10.5"
"1985/08","1985","08","7.2"
"1985/09","1985","09","4.7"
"1985/10","1985","10","9.8"
"1985/11","1985","11","6.3"
"1985/12","1985","12","8.5"
"1986/01","1986","01","5"
"1986/02","1986","02","4.4"
"1986/03","1986","03","18.9"
"1986/04","1986","04","38.6"
"1986/05","1986","05","7.3"
"1986/06","1986","06","7.4"
"1986/07","1986","07","9.6"
"1986/08","1986","08","6.7"
"1986/09","1986","09","4"
"1986/10","1986","10","10"
"1986/11","1986","11","11.3"
"1986/12","1986","12","11.6"
"1987/01","1987","01","11.9"
"1987/02","1987","02","11.8"
"1987/03","1987","03","3.9"
"1987/04","1987","04","10"
"1987/05","1987","05","15.3"
"1987/06","1987","06","6.8"
"1987/07","1987","07","7.1"
"1987/08","1987","08","4.7"
"1987/09","1987","09","9.5"
"1987/10","1987","10","3"
"1987/11","1987","11","18"
"1987/12","1987","12","17.4"
"1988/01","1988","01","16.2"
"1988/02","1988","02","7.2"
"1988/03","1988","03","6.5"
"1988/04","1988","04","12.5"
"1988/05","1988","05","6.7"
"1988/06","1988","06","1.9"
"1988/07","1988","07","5.3"
"1988/08","1988","08","6.8"
"1988/09","1988","09","7"
"1988/10","1988","10","6.3"
"1988/11","1988","11","17.2"
"1988/12","1988","12","21.3"
"1989/01","1989","01","16"
"1989/02","1989","02","12.4"
"1989/03","1989","03","15.4"
"1989/04","1989","04","35.2"
"1989/05","1989","05","7.2"
"1989/06","1989","06","5.7"
"1989/07","1989","07","20.6"
"1989/08","1989","08","8"
"1989/09","1989","09","5.7"
"1989/10","1989","10","6.1"
"1989/11","1989","11","3.7"
"1989/12","1989","12","6.4"
"1990/01","1990","01","24.4"
"1990/02","1990","02","14.2"
"1990/03","1990","03","9.5"
"1990/04","1990","04","2"
"1990/05","1990","05","4.8"
"1990/06","1990","06","13.4"
"1990/07","1990","07","11.8"
"1990/08","1990","08","5.6"
"1990/09","1990","09","12.4"
"1990/10","1990","10","8.9"
"1990/11","1990","11","37.7"
"1990/12","1990","12","18.3"
"1991/01","1991","01","6.8"
"1991/02","1991","02","10.1"
"1991/03","1991","03","43.9"
"1991/04","1991","04","3.5"
"1991/05","1991","05","3.3"
"1991/06","1991","06","5.2"
"1991/07","1991","07","6.1"
"1991/08","1991","08","21.7"
"1991/09","1991","09","9.6"
"1991/10","1991","10","2.7"
"1991/11","1991","11","1.5"
"1991/12","1991","12","6.1"
"1992/01","1992","01","8.3"
"1992/02","1992","02","2.2"
"1992/03","1992","03","1.9"
"1992/04","1992","04","1.5"
"1992/05","1992","05","7.2"
"1992/06","1992","06","3.6"
"1992/07","1992","07","12.4"
"1992/08","1992","08","3.6"
"1992/09","1992","09","18.3"
"1992/10","1992","10","3.9"
"1992/11","1992","11","13.5"
"1992/12","1992","12","11.9"
"1993/01","1993","01","8.8"
"1993/02","1993","02","1.8"
