"Date","Year","Month","RF"
"1989/10","1989","10","3.7"
"1989/11","1989","11","1.6"
"1989/12","1989","12","4.7"
"1990/01","1990","01","15.7"
"1990/02","1990","02","10.1"
"1990/03","1990","03","8.6"
"1990/04","1990","04","1.9"
"1990/05","1990","05","5.7"
"1990/06","1990","06","5.1"
"1990/07","1990","07","5.5"
"1990/08","1990","08","2.1"
"1990/09","1990","09","5.4"
"1990/10","1990","10","7.5"
"1990/11","1990","11","18.4"
"1990/12","1990","12","8.4"
"1991/01","1991","01","3.4"
"1991/02","1991","02","3.5"
"1991/03","1991","03","14"
"1991/04","1991","04","4"
"1991/05","1991","05","4.8"
"1991/06","1991","06","3.7"
"1991/07","1991","07","4.4"
"1991/08","1991","08","6.8"
"1991/09","1991","09","2.6"
"1991/10","1991","10","2.7"
"1991/11","1991","11","1.8"
"1991/12","1991","12","4.4"
"1992/01","1992","01","3.6"
"1992/02","1992","02","2.3"
"1992/03","1992","03","2.2"
"1992/04","1992","04","3.1"
"1992/05","1992","05","3.2"
"1992/06","1992","06","2.9"
"1992/07","1992","07","6"
"1992/08","1992","08","4.4"
"1992/09","1992","09","8"
"1992/10","1992","10","3.3"
"1992/11","1992","11","11.5"
"1992/12","1992","12","4.9"
"1993/01","1993","01","3.4"
"1993/02","1993","02","0.8"
"1993/03","1993","03","6.6"
"1993/04","1993","04","4.4"
